"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","18.400,0","18.200,0","18.400,0","18.000,0","299,71K","0,99%"
"29.04.2019","18.220,0","18.500,0","18.620,0","18.220,0","57,87K","-1,62%"
"26.04.2019","18.520,0","18.480,0","18.520,0","18.260,0","51,68K","0,11%"
"25.04.2019","18.500,0","18.440,0","18.540,0","18.300,0","133,12K","0,98%"
"24.04.2019","18.320,0","17.980,0","18.320,0","17.860,0","189,56K","1,22%"
"23.04.2019","18.100,0","18.140,0","18.140,0","17.940,0","83,10K","1,00%"
"22.04.2019","17.920,0","17.860,0","18.000,0","17.780,0","271,21K","0,34%"
"17.04.2019","17.860,0","17.660,0","17.900,0","17.580,0","174,39K","1,94%"
"16.04.2019","17.520,0","17.000,0","17.720,0","17.000,0","197,47K","0,11%"
"15.04.2019","17.500,0","18.200,0","18.200,0","17.500,0","156,65K","-4,58%"
"12.04.2019","18.340,0","18.040,0","18.340,0","18.040,0","171,74K","1,66%"
"11.04.2019","18.040,0","18.360,0","18.480,0","18.040,0","123,71K","-1,85%"
"10.04.2019","18.380,0","18.360,0","18.540,0","18.160,0","263,15K","0,00%"
"09.04.2019","18.380,0","17.980,0","18.380,0","17.820,0","280,29K","2,57%"
"08.04.2019","17.920,0","18.000,0","18.000,0","17.760,0","144,20K","0,45%"
"05.04.2019","17.840,0","18.000,0","18.180,0","17.840,0","206,84K","-0,89%"
"04.04.2019","18.000,0","18.200,0","18.300,0","17.840,0","72,34K","-1,21%"
"03.04.2019","18.220,0","17.980,0","18.220,0","17.800,0","192,46K","2,02%"
"02.04.2019","17.860,0","17.820,0","18.000,0","17.820,0","81,06K","-0,45%"
"01.04.2019","17.940,0","18.180,0","18.380,0","17.940,0","157,16K","-0,88%"
"29.03.2019","18.100,0","18.000,0","18.180,0","17.720,0","258,92K","1,69%"
"28.03.2019","17.800,0","18.000,0","18.000,0","17.520,0","212,28K","0,56%"
"27.03.2019","17.700,0","18.100,0","18.120,0","17.600,0","161,00K","-2,85%"
"26.03.2019","18.220,0","18.320,0","18.400,0","18.220,0","137,14K","-0,44%"
"22.03.2019","18.300,0","18.400,0","18.520,0","18.100,0","300,16K","-2,14%"
"21.03.2019","18.700,0","18.720,0","18.760,0","18.420,0","333,39K","-0,21%"
"20.03.2019","18.740,0","18.180,0","18.740,0","18.180,0","339,57K","2,85%"
"19.03.2019","18.220,0","18.480,0","18.720,0","18.220,0","199,50K","-1,41%"
"18.03.2019","18.480,0","18.500,0","18.540,0","18.260,0","251,04K","1,54%"
"15.03.2019","18.200,0","18.680,0","18.780,0","18.200,0","1,59M","-2,67%"
"14.03.2019","18.700,0","18.280,0","18.700,0","18.280,0","432,10K","2,19%"
"13.03.2019","18.300,0","17.840,0","18.300,0","17.840,0","473,17K","2,58%"
"12.03.2019","17.840,0","17.740,0","18.020,0","17.740,0","387,24K","0,68%"
"11.03.2019","17.720,0","17.740,0","17.780,0","17.620,0","233,94K","0,80%"
"08.03.2019","17.580,0","17.700,0","17.800,0","17.260,0","162,76K","-1,24%"
"07.03.2019","17.800,0","18.000,0","18.140,0","17.720,0","275,83K","-1,22%"
"06.03.2019","18.020,0","17.820,0","18.140,0","17.700,0","505,23K","1,69%"
"05.03.2019","17.720,0","17.900,0","17.900,0","17.720,0","87,12K","-1,12%"
"04.03.2019","17.920,0","18.240,0","18.240,0","17.920,0","83,53K","-1,21%"
"01.03.2019","18.140,0","18.100,0","18.140,0","17.740,0","127,57K","1,23%"
"28.02.2019","17.920,0","18.180,0","18.280,0","17.920,0","408,92K","-1,43%"
"27.02.2019","18.180,0","18.200,0","18.300,0","17.900,0","147,79K","-0,66%"
"26.02.2019","18.300,0","18.000,0","18.300,0","17.980,0","218,39K","1,67%"
"25.02.2019","18.000,0","18.000,0","18.000,0","17.780,0","187,54K","1,24%"
"22.02.2019","17.780,0","17.600,0","17.980,0","17.580,0","83,14K","1,02%"
"21.02.2019","17.600,0","17.540,0","17.600,0","17.360,0","312,00K","0,46%"
"20.02.2019","17.520,0","17.860,0","17.960,0","17.520,0","211,43K","-1,90%"
"19.02.2019","17.860,0","18.080,0","18.180,0","17.600,0","271,60K","-1,22%"
"18.02.2019","18.080,0","18.480,0","18.500,0","18.080,0","104,39K","-2,16%"
"15.02.2019","18.480,0","18.320,0","18.480,0","18.240,0","194,02K","0,76%"
"14.02.2019","18.340,0","17.820,0","18.340,0","17.820,0","59,74K","0,99%"
"13.02.2019","18.160,0","18.180,0","18.180,0","17.860,0","220,34K","-0,11%"
"12.02.2019","18.180,0","18.200,0","18.200,0","18.000,0","298,34K","0,66%"
"11.02.2019","18.060,0","18.020,0","18.220,0","17.940,0","120,19K","0,22%"
"08.02.2019","18.020,0","18.060,0","18.100,0","17.880,0","91,42K","-0,22%"
"07.02.2019","18.060,0","18.020,0","18.280,0","18.020,0","154,33K","-0,88%"
"06.02.2019","18.220,0","18.540,0","18.560,0","18.220,0","175,15K","-1,51%"
"05.02.2019","18.500,0","18.240,0","18.500,0","18.240,0","164,08K","0,54%"
"04.02.2019","18.400,0","18.520,0","18.660,0","18.200,0","331,30K","-1,08%"
"01.02.2019","18.600,0","18.540,0","18.660,0","18.420,0","338,01K","0,22%"
"31.01.2019","18.560,0","18.680,0","18.720,0","18.560,0","1,78M","-0,75%"
"30.01.2019","18.700,0","18.940,0","18.940,0","18.700,0","340,54K","-1,06%"
"29.01.2019","18.900,0","18.560,0","18.900,0","18.540,0","157,14K","0,64%"
"28.01.2019","18.780,0","18.440,0","18.780,0","18.400,0","547,34K","2,40%"
"25.01.2019","18.340,0","18.120,0","18.440,0","17.920,0","215,90K","1,33%"
"24.01.2019","18.100,0","17.920,0","18.300,0","17.420,0","352,67K","0,89%"
"23.01.2019","17.940,0","17.600,0","17.940,0","17.480,0","239,42K","1,93%"
"22.01.2019","17.600,0","17.120,0","17.600,0","17.120,0","492,06K","1,15%"
"21.01.2019","17.400,0","17.400,0","17.400,0","17.240,0","31,96K","0,00%"
"18.01.2019","17.400,0","17.320,0","17.400,0","17.080,0","366,18K","0,58%"
"17.01.2019","17.300,0","17.300,0","17.340,0","17.220,0","137,25K","0,00%"
"16.01.2019","17.300,0","17.200,0","17.300,0","17.140,0","134,96K","0,58%"
"15.01.2019","17.200,0","17.000,0","17.200,0","17.000,0","286,21K","0,58%"
"14.01.2019","17.100,0","17.080,0","17.120,0","17.000,0","209,45K","0,12%"
"11.01.2019","17.080,0","17.100,0","17.100,0","17.000,0","170,23K","-0,12%"
"10.01.2019","17.100,0","17.000,0","17.100,0","16.700,0","236,41K","0,59%"
"09.01.2019","17.000,0","17.080,0","17.100,0","16.920,0","508,03K","-0,23%"
"08.01.2019","17.040,0","17.300,0","17.300,0","16.940,0","574,06K","-1,39%"
"04.01.2019","17.280,0","16.820,0","17.280,0","16.800,0","119,22K","1,05%"
"03.01.2019","17.100,0","16.820,0","17.100,0","16.820,0","311,72K","1,66%"
"02.01.2019","16.820,0","16.600,0","17.100,0","16.600,0","36,41K","-0,47%"
"28.12.2018","16.900,0","17.040,0","17.200,0","16.740,0","194,27K","-0,71%"
"27.12.2018","17.020,0","17.280,0","17.280,0","16.720,0","78,51K","-0,12%"
"26.12.2018","17.040,0","16.720,0","17.300,0","16.720,0","49,11K","1,91%"
"24.12.2018","16.720,0","17.000,0","17.000,0","16.700,0","128,53K","0,24%"
"21.12.2018","16.680,0","16.260,0","17.000,0","16.260,0","1,26M","2,71%"
"20.12.2018","16.240,0","16.460,0","16.560,0","16.240,0","519,72K","-1,81%"
"19.12.2018","16.540,0","16.220,0","16.700,0","16.220,0","292,58K","1,47%"
"18.12.2018","16.300,0","15.960,0","16.300,0","15.960,0","188,01K","2,13%"
"17.12.2018","15.960,0","16.300,0","16.440,0","15.900,0","539,76K","-2,09%"
"14.12.2018","16.300,0","16.440,0","16.440,0","16.300,0","175,73K","-0,85%"
"13.12.2018","16.440,0","16.500,0","16.500,0","16.320,0","200,14K","0,00%"
"12.12.2018","16.440,0","16.500,0","16.600,0","16.320,0","469,51K","-0,36%"
