"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","39.400,0","39.740,0","39.740,0","39.240,0","953,21K","-2,04%"
"29.04.2019","40.220,0","40.860,0","40.960,0","40.140,0","173,32K","-1,57%"
"26.04.2019","40.860,0","41.000,0","41.000,0","40.620,0","137,93K","-0,54%"
"25.04.2019","41.080,0","41.200,0","41.200,0","40.800,0","139,75K","-0,29%"
"24.04.2019","41.200,0","40.100,0","41.200,0","40.100,0","220,55K","0,68%"
"23.04.2019","40.920,0","41.000,0","41.200,0","40.680,0","211,37K","-0,39%"
"22.04.2019","41.080,0","41.060,0","41.080,0","39.280,0","115,43K","0,00%"
"17.04.2019","41.080,0","40.000,0","41.080,0","39.440,0","61,66K","2,75%"
"16.04.2019","39.980,0","39.220,0","39.980,0","39.220,0","315,25K","1,94%"
"15.04.2019","39.220,0","41.100,0","41.100,0","39.220,0","113,51K","-4,53%"
"12.04.2019","41.080,0","40.700,0","41.080,0","40.700,0","31,41K","-0,29%"
"11.04.2019","41.200,0","41.000,0","41.360,0","41.000,0","65,76K","-0,48%"
"10.04.2019","41.400,0","40.480,0","41.420,0","40.480,0","97,02K","0,05%"
"09.04.2019","41.380,0","40.460,0","41.380,0","40.460,0","59,89K","-0,10%"
"08.04.2019","41.420,0","40.880,0","41.720,0","40.760,0","147,29K","1,32%"
"05.04.2019","40.880,0","40.200,0","41.280,0","40.100,0","84,53K","2,05%"
"04.04.2019","40.060,0","39.260,0","40.060,0","39.260,0","102,37K","2,35%"
"03.04.2019","39.140,0","38.900,0","39.480,0","38.900,0","161,76K","0,88%"
"02.04.2019","38.800,0","38.620,0","39.040,0","38.620,0","119,60K","0,15%"
"01.04.2019","38.740,0","39.700,0","39.700,0","38.680,0","49,99K","-2,17%"
"29.03.2019","39.600,0","38.500,0","39.600,0","38.500,0","387,03K","2,80%"
"28.03.2019","38.520,0","39.020,0","39.020,0","38.320,0","172,47K","-0,77%"
"27.03.2019","38.820,0","39.420,0","39.500,0","38.820,0","54,65K","-2,71%"
"26.03.2019","39.900,0","39.600,0","40.600,0","39.320,0","224,91K","0,76%"
"22.03.2019","39.600,0","41.080,0","41.080,0","39.200,0","105,31K","-4,12%"
"21.03.2019","41.300,0","40.400,0","41.460,0","40.000,0","96,96K","2,23%"
"20.03.2019","40.400,0","39.400,0","40.400,0","38.700,0","288,66K","2,02%"
"19.03.2019","39.600,0","40.100,0","40.100,0","38.700,0","924,81K","1,49%"
"18.03.2019","39.020,0","38.700,0","39.020,0","38.540,0","218,54K","-0,36%"
"15.03.2019","39.160,0","38.980,0","39.160,0","38.540,0","483,06K","0,41%"
"14.03.2019","39.000,0","38.300,0","39.000,0","37.720,0","150,68K","2,63%"
"13.03.2019","38.000,0","37.000,0","38.000,0","37.000,0","753,84K","2,70%"
"12.03.2019","37.000,0","37.000,0","37.200,0","36.920,0","113,71K","-0,11%"
"11.03.2019","37.040,0","37.200,0","37.200,0","36.820,0","280,89K","2,49%"
"08.03.2019","36.140,0","36.360,0","36.360,0","36.040,0","141,67K","-2,17%"
"07.03.2019","36.940,0","36.700,0","37.000,0","36.420,0","260,35K","0,27%"
"06.03.2019","36.840,0","36.760,0","37.480,0","36.700,0","76,29K","0,22%"
"05.03.2019","36.760,0","35.900,0","36.760,0","35.900,0","124,28K","2,68%"
"04.03.2019","35.800,0","35.760,0","35.980,0","35.740,0","75,20K","0,00%"
"01.03.2019","35.800,0","35.640,0","36.100,0","35.620,0","74,40K","-0,50%"
"28.02.2019","35.980,0","35.900,0","36.100,0","35.040,0","562,69K","0,22%"
"27.02.2019","35.900,0","35.940,0","35.960,0","35.620,0","345,82K","-0,11%"
"26.02.2019","35.940,0","35.980,0","36.060,0","35.600,0","533,80K","-0,11%"
"25.02.2019","35.980,0","35.560,0","36.100,0","35.560,0","428,02K","1,35%"
"22.02.2019","35.500,0","34.800,0","35.580,0","34.800,0","1,58M","2,07%"
"21.02.2019","34.780,0","34.000,0","34.780,0","34.000,0","235,20K","0,75%"
"20.02.2019","34.520,0","34.300,0","34.780,0","34.300,0","307,91K","0,64%"
"19.02.2019","34.300,0","34.180,0","34.300,0","33.660,0","985,78K","0,18%"
"18.02.2019","34.240,0","34.380,0","34.420,0","34.240,0","54,70K","-1,61%"
"15.02.2019","34.800,0","33.800,0","34.900,0","33.800,0","390,40K","0,87%"
