"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","40.900,0","40.900,0","41.740,0","40.700,0","2,10M","-2,62%"
"29.04.2019","42.000,0","42.220,0","42.580,0","41.900,0","542,44K","-0,76%"
"26.04.2019","42.320,0","42.260,0","42.440,0","42.040,0","523,85K","-0,05%"
"25.04.2019","42.340,0","42.520,0","42.600,0","42.180,0","523,08K","0,24%"
"24.04.2019","42.240,0","42.040,0","42.320,0","41.860,0","687,35K","-0,14%"
"23.04.2019","42.300,0","40.500,0","42.620,0","40.500,0","423,01K","-0,47%"
"22.04.2019","42.500,0","41.380,0","42.500,0","41.380,0","324,66K","2,56%"
"17.04.2019","41.440,0","41.200,0","42.000,0","41.200,0","211,61K","1,22%"
"16.04.2019","40.940,0","41.500,0","41.500,0","40.060,0","479,38K","0,05%"
"15.04.2019","40.920,0","42.000,0","42.000,0","40.900,0","347,40K","-2,57%"
"12.04.2019","42.000,0","41.680,0","42.220,0","41.680,0","379,74K","-0,52%"
"11.04.2019","42.220,0","41.920,0","42.500,0","41.560,0","435,58K","-0,89%"
"10.04.2019","42.600,0","42.640,0","42.840,0","42.420,0","338,17K","-0,70%"
"09.04.2019","42.900,0","42.700,0","42.900,0","42.420,0","605,02K","-0,23%"
"08.04.2019","43.000,0","42.200,0","43.160,0","41.960,0","314,70K","1,42%"
"05.04.2019","42.400,0","41.400,0","42.680,0","41.400,0","529,73K","2,46%"
"04.04.2019","41.380,0","40.620,0","41.380,0","40.540,0","303,59K","1,42%"
"03.04.2019","40.800,0","40.220,0","40.860,0","40.220,0","402,52K","1,49%"
"02.04.2019","40.200,0","39.360,0","40.240,0","39.360,0","209,78K","1,21%"
"01.04.2019","39.720,0","40.200,0","40.780,0","39.580,0","172,67K","-1,68%"
"29.03.2019","40.400,0","40.180,0","40.400,0","39.600,0","671,08K","1,56%"
"28.03.2019","39.780,0","40.020,0","40.400,0","39.720,0","737,28K","-0,40%"
"27.03.2019","39.940,0","41.000,0","41.140,0","39.940,0","681,18K","-2,35%"
"26.03.2019","40.900,0","40.500,0","41.500,0","40.420,0","544,08K","0,74%"
"22.03.2019","40.600,0","41.800,0","42.000,0","40.500,0","584,69K","-3,61%"
"21.03.2019","42.120,0","41.120,0","42.120,0","40.800,0","395,47K","1,99%"
"20.03.2019","41.300,0","40.600,0","41.300,0","40.480,0","733,93K","0,73%"
"19.03.2019","41.000,0","40.180,0","41.000,0","40.180,0","596,43K","2,24%"
"18.03.2019","40.100,0","40.000,0","40.140,0","39.460,0","625,49K","1,01%"
"15.03.2019","39.700,0","39.620,0","40.120,0","39.620,0","1,27M","-0,45%"
"14.03.2019","39.880,0","39.000,0","39.960,0","39.000,0","446,46K","1,68%"
"13.03.2019","39.220,0","38.380,0","39.320,0","38.380,0","1,10M","2,72%"
"12.03.2019","38.180,0","38.280,0","38.620,0","38.120,0","194,88K","-0,26%"
"11.03.2019","38.280,0","37.440,0","38.400,0","37.440,0","299,94K","2,24%"
"08.03.2019","37.440,0","37.780,0","37.840,0","37.280,0","441,26K","-1,68%"
"07.03.2019","38.080,0","37.680,0","38.440,0","37.540,0","599,29K","-0,05%"
"06.03.2019","38.100,0","37.560,0","38.740,0","37.560,0","685,09K","1,22%"
"05.03.2019","37.640,0","37.120,0","37.820,0","37.120,0","351,64K","1,13%"
"04.03.2019","37.220,0","37.100,0","37.300,0","36.920,0","308,95K","0,27%"
"01.03.2019","37.120,0","37.120,0","37.220,0","36.700,0","588,51K","0,00%"
"28.02.2019","37.120,0","37.060,0","37.500,0","37.060,0","957,37K","-0,27%"
"27.02.2019","37.220,0","37.200,0","37.520,0","36.800,0","674,79K","0,00%"
"26.02.2019","37.220,0","37.200,0","37.480,0","37.000,0","838,98K","0,05%"
"25.02.2019","37.200,0","36.900,0","37.500,0","36.900,0","1,13M","1,03%"
"22.02.2019","36.820,0","35.960,0","37.360,0","35.960,0","2,53M","2,56%"
"21.02.2019","35.900,0","35.500,0","35.900,0","35.160,0","495,41K","0,84%"
"20.02.2019","35.600,0","35.300,0","35.860,0","35.300,0","609,54K","0,85%"
"19.02.2019","35.300,0","35.200,0","35.380,0","34.880,0","747,14K","0,28%"
"18.02.2019","35.200,0","35.340,0","35.740,0","35.200,0","332,43K","-1,40%"
"15.02.2019","35.700,0","35.060,0","35.900,0","35.060,0","511,24K","0,56%"
"14.02.2019","35.500,0","35.120,0","35.700,0","35.100,0","645,38K","0,57%"
"13.02.2019","35.300,0","35.580,0","35.700,0","35.120,0","513,55K","-0,62%"
"12.02.2019","35.520,0","35.740,0","35.980,0","35.300,0","334,71K","-0,62%"
