"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","1.573,64","1.590,38","1.592,85","1.573,64","-","-1,05%"
"29.04.2019","1.590,38","1.597,75","1.597,75","1.588,93","-","-0,46%"
"26.04.2019","1.597,75","1.599,81","1.599,81","1.590,03","-","-0,13%"
"25.04.2019","1.599,81","1.600,17","1.600,97","1.594,01","-","-0,02%"
"24.04.2019","1.600,17","1.595,02","1.600,17","1.583,40","-","0,32%"
"23.04.2019","1.595,02","1.591,18","1.596,80","1.580,20","-","0,24%"
"22.04.2019","1.591,18","1.574,31","1.591,18","1.562,88","-","1,07%"
"17.04.2019","1.574,31","1.581,43","1.581,43","1.564,62","-","-0,45%"
"16.04.2019","1.581,43","1.572,75","1.581,43","1.564,61","-","0,55%"
"15.04.2019","1.572,75","1.604,97","1.606,52","1.572,75","-","-2,01%"
"12.04.2019","1.604,97","1.611,60","1.613,86","1.601,41","-","-0,41%"
"11.04.2019","1.611,60","1.625,21","1.625,21","1.610,44","-","-0,84%"
"10.04.2019","1.625,21","1.621,40","1.626,58","1.617,36","-","0,23%"
"09.04.2019","1.621,40","1.616,35","1.621,40","1.607,85","-","0,31%"
"08.04.2019","1.616,35","1.599,83","1.616,35","1.599,03","-","1,03%"
"05.04.2019","1.599,83","1.590,15","1.609,28","1.590,15","-","0,61%"
"04.04.2019","1.590,15","1.590,64","1.592,63","1.584,40","-","-0,03%"
"03.04.2019","1.590,64","1.579,51","1.591,92","1.579,51","-","0,70%"
"02.04.2019","1.579,51","1.581,90","1.585,09","1.574,12","-","-0,15%"
"01.04.2019","1.581,90","1.587,74","1.595,03","1.581,25","-","-0,37%"
"29.03.2019","1.587,74","1.569,91","1.590,59","1.569,91","-","1,14%"
"28.03.2019","1.569,91","1.572,68","1.577,09","1.563,03","-","-0,18%"
"27.03.2019","1.572,68","1.607,03","1.610,71","1.571,99","-","-2,14%"
"26.03.2019","1.607,03","1.597,19","1.615,28","1.597,19","-","0,62%"
"22.03.2019","1.597,19","1.631,30","1.632,11","1.586,69","-","-2,09%"
"21.03.2019","1.631,30","1.628,22","1.634,17","1.620,73","-","0,19%"
"20.03.2019","1.628,22","1.613,71","1.628,22","1.601,25","-","0,90%"
"19.03.2019","1.613,71","1.606,37","1.625,73","1.599,44","-","0,46%"
"18.03.2019","1.606,37","1.579,72","1.606,37","1.575,19","-","1,69%"
"15.03.2019","1.579,72","1.575,11","1.585,46","1.570,16","-","0,29%"
"14.03.2019","1.575,11","1.560,40","1.577,26","1.559,14","-","0,94%"
"13.03.2019","1.560,40","1.533,35","1.560,55","1.533,35","-","1,76%"
"12.03.2019","1.533,35","1.525,79","1.536,32","1.525,79","-","0,50%"
"11.03.2019","1.525,79","1.503,01","1.528,68","1.503,01","-","1,52%"
"08.03.2019","1.503,01","1.517,84","1.517,84","1.499,26","-","-0,98%"
"07.03.2019","1.517,84","1.532,06","1.533,17","1.517,70","-","-0,93%"
"06.03.2019","1.532,06","1.518,21","1.532,06","1.518,21","-","0,91%"
"05.03.2019","1.518,21","1.517,00","1.522,36","1.515,02","-","0,08%"
"04.03.2019","1.517,00","1.515,35","1.519,14","1.514,97","-","0,11%"
"01.03.2019","1.515,35","1.508,27","1.517,59","1.504,48","-","0,47%"
"28.02.2019","1.508,27","1.516,64","1.520,99","1.508,27","-","-0,55%"
"27.02.2019","1.516,64","1.519,95","1.527,94","1.509,78","-","-0,22%"
"26.02.2019","1.519,95","1.509,88","1.523,29","1.509,88","-","0,67%"
"25.02.2019","1.509,88","1.491,74","1.511,66","1.490,22","-","1,22%"
"22.02.2019","1.491,74","1.478,49","1.493,70","1.478,49","-","0,90%"
"21.02.2019","1.478,49","1.478,64","1.479,01","1.469,92","-","-0,01%"
"20.02.2019","1.478,64","1.477,76","1.487,75","1.476,23","-","0,06%"
"19.02.2019","1.477,76","1.482,69","1.482,69","1.470,28","-","-0,33%"
