"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","1.245,0","1.270,0","1.270,0","1.245,0","8,90M","-2,73%"
"29.04.2019","1.280,0","1.290,0","1.290,0","1.270,0","2,42M","-0,78%"
"26.04.2019","1.290,0","1.285,0","1.290,0","1.275,0","984,49K","0,78%"
"25.04.2019","1.280,0","1.295,0","1.305,0","1.280,0","3,18M","-1,92%"
"24.04.2019","1.305,0","1.295,0","1.305,0","1.285,0","1,86M","0,77%"
"23.04.2019","1.295,0","1.310,0","1.310,0","1.295,0","895,12K","-1,15%"
"22.04.2019","1.310,0","1.305,0","1.310,0","1.265,0","2,51M","0,00%"
"17.04.2019","1.310,0","1.285,0","1.310,0","1.285,0","3,04M","0,38%"
"16.04.2019","1.305,0","1.275,0","1.305,0","1.275,0","2,31M","2,35%"
"15.04.2019","1.275,0","1.290,0","1.300,0","1.275,0","2,58M","-1,16%"
"12.04.2019","1.290,0","1.305,0","1.315,0","1.290,0","2,16M","-1,90%"
"11.04.2019","1.315,0","1.300,0","1.315,0","1.285,0","2,80M","1,15%"
"10.04.2019","1.300,0","1.290,0","1.315,0","1.290,0","8,68M","-0,76%"
"09.04.2019","1.310,0","1.275,0","1.310,0","1.270,0","7,89M","2,75%"
"08.04.2019","1.275,0","1.245,0","1.275,0","1.240,0","3,96M","3,24%"
"05.04.2019","1.235,0","1.230,0","1.250,0","1.230,0","6,17M","0,82%"
"04.04.2019","1.225,0","1.215,0","1.225,0","1.215,0","3,09M","0,41%"
"03.04.2019","1.220,0","1.230,0","1.235,0","1.220,0","4,35M","-0,41%"
"02.04.2019","1.225,0","1.220,0","1.230,0","1.215,0","3,19M","-0,41%"
"01.04.2019","1.230,0","1.220,0","1.230,0","1.220,0","1,81M","-0,40%"
"29.03.2019","1.235,0","1.210,0","1.235,0","1.210,0","2,61M","0,82%"
"28.03.2019","1.225,0","1.215,0","1.225,0","1.205,0","4,73M","0,00%"
"27.03.2019","1.225,0","1.225,0","1.230,0","1.205,0","3,78M","0,41%"
"26.03.2019","1.220,0","1.200,0","1.230,0","1.200,0","2,41M","0,41%"
"22.03.2019","1.215,0","1.230,0","1.230,0","1.200,0","4,04M","-0,41%"
"21.03.2019","1.220,0","1.230,0","1.240,0","1.220,0","3,17M","-1,21%"
"20.03.2019","1.235,0","1.210,0","1.235,0","1.210,0","6,76M","2,07%"
"19.03.2019","1.210,0","1.220,0","1.235,0","1.210,0","3,19M","-0,82%"
"18.03.2019","1.220,0","1.180,0","1.220,0","1.180,0","8,63M","6,55%"
"15.03.2019","1.145,0","1.210,0","1.220,0","1.145,0","18,20M","-4,98%"
"14.03.2019","1.205,0","1.190,0","1.210,0","1.190,0","2,57M","0,84%"
"13.03.2019","1.195,0","1.215,0","1.220,0","1.195,0","6,20M","-1,24%"
"12.03.2019","1.210,0","1.210,0","1.220,0","1.210,0","5,95M","0,41%"
"11.03.2019","1.205,0","1.190,0","1.210,0","1.190,0","3,40M","1,26%"
"08.03.2019","1.190,0","1.180,0","1.200,0","1.175,0","1,33M","0,42%"
"07.03.2019","1.185,0","1.190,0","1.205,0","1.185,0","2,25M","-2,07%"
"06.03.2019","1.210,0","1.180,0","1.210,0","1.180,0","6,33M","3,42%"
"05.03.2019","1.170,0","1.180,0","1.185,0","1.170,0","1,72M","-0,43%"
"04.03.2019","1.175,0","1.175,0","1.185,0","1.175,0","1,34M","-0,42%"
"01.03.2019","1.180,0","1.185,0","1.190,0","1.175,0","5,86M","0,43%"
"28.02.2019","1.175,0","1.170,0","1.190,0","1.165,0","5,83M","0,43%"
"27.02.2019","1.170,0","1.170,0","1.180,0","1.150,0","3,22M","-1,27%"
"26.02.2019","1.185,0","1.170,0","1.185,0","1.170,0","7,01M","1,28%"
"25.02.2019","1.170,0","1.160,0","1.180,0","1.160,0","3,25M","1,30%"
"22.02.2019","1.155,0","1.140,0","1.155,0","1.135,0","1,78M","0,87%"
"21.02.2019","1.145,0","1.125,0","1.145,0","1.125,0","2,02M","0,88%"
"20.02.2019","1.135,0","1.130,0","1.140,0","1.125,0","4,52M","0,44%"
"19.02.2019","1.130,0","1.120,0","1.130,0","1.110,0","4,88M","0,44%"
"18.02.2019","1.125,0","1.130,0","1.130,0","1.120,0","2,73M","-0,44%"
"15.02.2019","1.130,0","1.115,0","1.130,0","1.115,0","2,35M","0,89%"
"14.02.2019","1.120,0","1.125,0","1.130,0","1.115,0","2,37M","-0,88%"
"13.02.2019","1.130,0","1.125,0","1.130,0","1.110,0","3,79M","0,44%"
"12.02.2019","1.125,0","1.130,0","1.130,0","1.115,0","2,91M","0,45%"
"11.02.2019","1.120,0","1.110,0","1.120,0","1.100,0","2,57M","1,82%"
"08.02.2019","1.100,0","1.105,0","1.105,0","1.090,0","1,02M","0,92%"
"07.02.2019","1.090,0","1.085,0","1.115,0","1.085,0","2,26M","-2,24%"
"06.02.2019","1.115,0","1.115,0","1.115,0","1.095,0","3,31M","0,00%"
"05.02.2019","1.115,0","1.115,0","1.130,0","1.110,0","6,29M","0,90%"
"04.02.2019","1.105,0","1.080,0","1.110,0","1.070,0","8,31M","2,31%"
"01.02.2019","1.080,0","1.070,0","1.080,0","1.060,0","3,15M","0,93%"
"31.01.2019","1.070,0","1.085,0","1.085,0","1.070,0","12,69M","-0,93%"
"30.01.2019","1.080,0","1.080,0","1.080,0","1.070,0","1,95M","0,00%"
"29.01.2019","1.080,0","1.080,0","1.080,0","1.075,0","1,83M","0,00%"
"28.01.2019","1.080,0","1.080,0","1.080,0","1.060,0","6,46M","0,00%"
"25.01.2019","1.080,0","1.065,0","1.085,0","1.065,0","7,43M","1,41%"
"24.01.2019","1.065,0","1.040,0","1.070,0","1.040,0","5,68M","2,40%"
"23.01.2019","1.040,0","1.040,0","1.040,0","1.025,0","3,23M","0,00%"
"22.01.2019","1.040,0","1.055,0","1.055,0","1.030,0","3,67M","-1,42%"
"21.01.2019","1.055,0","1.060,0","1.060,0","1.035,0","518,81K","0,00%"
"18.01.2019","1.055,0","1.060,0","1.060,0","1.045,0","3,02M","-0,47%"
"17.01.2019","1.060,0","1.070,0","1.070,0","1.050,0","2,58M","-0,93%"
"16.01.2019","1.070,0","1.080,0","1.080,0","1.060,0","3,65M","0,00%"
"15.01.2019","1.070,0","1.090,0","1.090,0","1.065,0","2,16M","-0,93%"
"14.01.2019","1.080,0","1.080,0","1.090,0","1.070,0","4,66M","0,00%"
"11.01.2019","1.080,0","1.070,0","1.080,0","1.055,0","4,83M","0,93%"
"10.01.2019","1.070,0","1.035,0","1.070,0","1.025,0","3,21M","3,88%"
"09.01.2019","1.030,0","1.010,0","1.030,0","1.005,0","23,16M","1,98%"
"08.01.2019","1.010,0","1.030,0","1.050,0","1.005,0","9,52M","-1,94%"
"04.01.2019","1.030,0","1.095,0","1.100,0","1.010,0","1,52M","-4,63%"
"03.01.2019","1.080,0","996,0","1.080,0","992,0","1,28M","8,43%"
"02.01.2019","996,0","960,0","996,0","960,0","332,90K","-0,30%"
"28.12.2018","999,0","975,0","999,0","933,0","741,78K","2,46%"
"27.12.2018","975,0","1.000,0","1.000,0","950,0","1,10M","-1,52%"
"26.12.2018","990,0","914,0","990,0","914,0","146,51K","4,21%"
"24.12.2018","950,0","950,0","950,0","950,0","318,87K","0,00%"
"21.12.2018","950,0","950,0","959,0","916,0","18,19M","0,11%"
"20.12.2018","949,0","979,0","979,0","946,0","6,33M","-2,67%"
"19.12.2018","975,0","975,0","987,0","967,0","6,50M","0,00%"
"18.12.2018","975,0","952,0","991,0","952,0","1,79M","2,42%"
"17.12.2018","952,0","990,0","995,0","952,0","3,27M","-5,27%"
"14.12.2018","1.005,0","995,0","1.005,0","993,0","7,60M","0,50%"
"13.12.2018","1.000,0","1.010,0","1.020,0","1.000,0","2,47M","-0,99%"
"12.12.2018","1.010,0","1.025,0","1.035,0","1.010,0","12,00M","-1,94%"
"11.12.2018","1.030,0","1.035,0","1.040,0","1.030,0","2,11M","-0,96%"
"10.12.2018","1.040,0","1.040,0","1.040,0","1.030,0","855,83K","-0,48%"
"07.12.2018","1.045,0","1.030,0","1.045,0","1.030,0","12,14M","1,95%"
"06.12.2018","1.025,0","1.045,0","1.045,0","1.025,0","3,76M","-2,84%"
"05.12.2018","1.055,0","1.050,0","1.055,0","1.035,0","1,41M","0,48%"
"04.12.2018","1.050,0","1.030,0","1.050,0","1.025,0","4,32M","0,48%"
"03.12.2018","1.045,0","1.030,0","1.050,0","1.030,0","3,52M","0,97%"
"30.11.2018","1.035,0","1.035,0","1.040,0","1.030,0","6,04M","-0,48%"
"29.11.2018","1.040,0","1.035,0","1.055,0","1.035,0","7,24M","0,97%"
"28.11.2018","1.030,0","1.020,0","1.030,0","1.015,0","8,97M","-0,48%"
"27.11.2018","1.035,0","1.040,0","1.040,0","1.010,0","7,11M","-0,96%"
"26.11.2018","1.045,0","1.050,0","1.060,0","1.040,0","4,01M","-0,48%"
"23.11.2018","1.050,0","1.045,0","1.065,0","1.030,0","1,04M","-0,94%"
"22.11.2018","1.060,0","1.065,0","1.065,0","1.055,0","1,33M","-0,47%"
"21.11.2018","1.065,0","1.140,0","1.140,0","1.015,0","9,88M","-6,17%"
"20.11.2018","1.135,0","1.160,0","1.160,0","1.120,0","2,22M","-3,40%"
"19.11.2018","1.175,0","1.180,0","1.195,0","1.165,0","2,95M","-0,84%"
"16.11.2018","1.185,0","1.140,0","1.185,0","1.140,0","6,39M","1,72%"
"15.11.2018","1.165,0","1.135,0","1.170,0","1.135,0","2,47M","2,64%"
"14.11.2018","1.135,0","1.160,0","1.165,0","1.130,0","3,72M","0,00%"
"13.11.2018","1.135,0","1.160,0","1.170,0","1.135,0","2,68M","-3,40%"
"09.11.2018","1.175,0","1.165,0","1.175,0","1.155,0","2,51M","0,43%"
"08.11.2018","1.170,0","1.170,0","1.170,0","1.160,0","2,53M","0,43%"
"07.11.2018","1.165,0","1.145,0","1.175,0","1.145,0","4,91M","-0,85%"
"06.11.2018","1.175,0","1.165,0","1.175,0","1.145,0","9,44M","0,43%"
"02.11.2018","1.170,0","1.165,0","1.170,0","1.155,0","2,24M","0,86%"
"01.11.2018","1.160,0","1.130,0","1.160,0","1.130,0","11,76M","2,65%"
"31.10.2018","1.130,0","1.105,0","1.145,0","1.105,0","7,77M","0,89%"
"30.10.2018","1.120,0","1.095,0","1.120,0","1.095,0","2,86M","1,82%"
"29.10.2018","1.100,0","1.070,0","1.100,0","1.070,0","27,51M","2,80%"
"26.10.2018","1.070,0","1.095,0","1.100,0","1.070,0","9,03M","-2,73%"
"25.10.2018","1.100,0","1.105,0","1.115,0","1.095,0","3,65M","-0,90%"
"24.10.2018","1.110,0","1.120,0","1.130,0","1.105,0","3,33M","-0,45%"
"23.10.2018","1.115,0","1.120,0","1.120,0","1.085,0","2,13M","-0,89%"
"22.10.2018","1.125,0","1.120,0","1.130,0","1.120,0","22,53M","0,45%"
"19.10.2018","1.120,0","1.135,0","1.140,0","1.120,0","11,28M","-1,75%"
"18.10.2018","1.140,0","1.140,0","1.145,0","1.130,0","2,53M","-1,30%"
"17.10.2018","1.155,0","1.145,0","1.155,0","1.140,0","2,73M","0,00%"
"16.10.2018","1.155,0","1.120,0","1.155,0","1.120,0","18,92M","3,13%"
"12.10.2018","1.120,0","1.125,0","1.140,0","1.120,0","1,68M","-0,44%"
"11.10.2018","1.125,0","1.145,0","1.145,0","1.125,0","5,84M","-1,32%"
"10.10.2018","1.140,0","1.155,0","1.160,0","1.140,0","7,06M","-1,30%"
"09.10.2018","1.155,0","1.145,0","1.160,0","1.145,0","911,26K","0,87%"
"08.10.2018","1.145,0","1.155,0","1.160,0","1.145,0","1,50M","-0,43%"
"05.10.2018","1.150,0","1.155,0","1.155,0","1.150,0","1,99M","-1,29%"
"04.10.2018","1.165,0","1.150,0","1.165,0","1.150,0","944,48K","0,43%"
"03.10.2018","1.160,0","1.150,0","1.165,0","1.150,0","1,65M","0,00%"
"02.10.2018","1.160,0","1.155,0","1.160,0","1.150,0","1,04M","0,43%"
"01.10.2018","1.155,0","1.155,0","1.165,0","1.155,0","1,87M","-0,86%"
"28.09.2018","1.165,0","1.165,0","1.165,0","1.150,0","3,86M","0,43%"
"27.09.2018","1.160,0","1.145,0","1.170,0","1.145,0","10,71M","1,31%"
"26.09.2018","1.145,0","1.145,0","1.150,0","1.140,0","1,41M","0,00%"
"25.09.2018","1.145,0","1.140,0","1.145,0","1.130,0","1,39M","0,44%"
"24.09.2018","1.140,0","1.145,0","1.150,0","1.140,0","2,36M","-3,39%"
"21.09.2018","1.180,0","1.140,0","1.180,0","1.120,0","20,47M","3,51%"
"20.09.2018","1.140,0","1.135,0","1.150,0","1.135,0","1,89M","-0,44%"
"19.09.2018","1.145,0","1.150,0","1.150,0","1.135,0","1,97M","-0,43%"
"18.09.2018","1.150,0","1.160,0","1.160,0","1.140,0","1,98M","0,00%"
"17.09.2018","1.150,0","1.190,0","1.190,0","1.150,0","3,45M","-3,36%"
"14.09.2018","1.190,0","1.180,0","1.200,0","1.170,0","4,91M","-0,42%"
"13.09.2018","1.195,0","1.195,0","1.195,0","1.190,0","3,51M","0,84%"
"12.09.2018","1.185,0","1.190,0","1.205,0","1.180,0","12,66M","0,42%"
"11.09.2018","1.180,0","1.185,0","1.190,0","1.175,0","2,84M","-0,84%"
