"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","15.820,0","15.940,0","16.280,0","15.820,0","1,20M","-2,35%"
"29.04.2019","16.200,0","16.240,0","16.240,0","16.020,0","117,92K","-0,49%"
"26.04.2019","16.280,0","16.020,0","16.280,0","15.960,0","121,53K","1,62%"
"25.04.2019","16.020,0","15.840,0","16.180,0","15.840,0","253,47K","-0,62%"
"24.04.2019","16.120,0","15.980,0","16.200,0","15.900,0","290,17K","0,75%"
"23.04.2019","16.000,0","16.060,0","16.080,0","15.940,0","183,49K","-0,62%"
"22.04.2019","16.100,0","15.600,0","16.200,0","15.600,0","811,16K","-1,23%"
"17.04.2019","16.300,0","15.580,0","16.400,0","15.580,0","425,85K","5,16%"
"16.04.2019","15.500,0","15.520,0","15.580,0","15.300,0","190,88K","-0,13%"
"15.04.2019","15.520,0","16.100,0","16.100,0","15.520,0","161,89K","-3,60%"
"12.04.2019","16.100,0","15.920,0","16.260,0","15.920,0","132,75K","-0,74%"
"11.04.2019","16.220,0","16.080,0","16.380,0","16.020,0","326,96K","-0,49%"
"10.04.2019","16.300,0","16.200,0","16.480,0","16.040,0","236,61K","0,62%"
"09.04.2019","16.200,0","15.780,0","16.200,0","15.700,0","372,95K","2,40%"
"08.04.2019","15.820,0","16.000,0","16.000,0","15.600,0","194,95K","-0,38%"
"05.04.2019","15.880,0","16.000,0","16.420,0","15.880,0","312,30K","-1,24%"
"04.04.2019","16.080,0","15.900,0","16.220,0","15.900,0","194,93K","-0,86%"
"03.04.2019","16.220,0","16.200,0","16.260,0","16.000,0","180,87K","0,37%"
"02.04.2019","16.160,0","15.800,0","16.160,0","15.800,0","274,87K","-0,25%"
"01.04.2019","16.200,0","16.000,0","16.200,0","15.900,0","344,77K","1,50%"
"29.03.2019","15.960,0","16.240,0","16.240,0","15.900,0","762,26K","0,38%"
"28.03.2019","15.900,0","15.940,0","16.200,0","15.900,0","256,03K","-2,45%"
"27.03.2019","16.300,0","16.600,0","16.600,0","16.200,0","251,39K","-2,63%"
"26.03.2019","16.740,0","16.000,0","16.740,0","16.000,0","457,74K","4,10%"
"22.03.2019","16.080,0","15.820,0","16.140,0","15.520,0","606,12K","-0,12%"
"21.03.2019","16.100,0","16.400,0","16.440,0","16.100,0","554,80K","-1,83%"
"20.03.2019","16.400,0","15.640,0","17.460,0","15.640,0","1,31M","-1,80%"
"19.03.2019","16.700,0","15.480,0","16.700,0","15.480,0","479,50K","1,33%"
"18.03.2019","16.480,0","15.120,0","16.480,0","15.120,0","289,67K","6,46%"
"15.03.2019","15.480,0","14.780,0","15.820,0","14.780,0","1,31M","3,20%"
"14.03.2019","15.000,0","14.880,0","15.480,0","14.680,0","1,60M","0,81%"
"13.03.2019","14.880,0","14.400,0","14.880,0","14.280,0","743,39K","3,77%"
"12.03.2019","14.340,0","14.340,0","14.440,0","14.240,0","420,98K","0,42%"
"11.03.2019","14.280,0","14.220,0","14.340,0","14.180,0","379,83K","0,56%"
"08.03.2019","14.200,0","14.000,0","14.260,0","14.000,0","306,80K","0,42%"
"07.03.2019","14.140,0","14.180,0","14.360,0","14.100,0","428,32K","0,00%"
"06.03.2019","14.140,0","14.000,0","14.180,0","13.980,0","725,53K","1,00%"
"05.03.2019","14.000,0","13.960,0","14.040,0","13.960,0","137,99K","0,14%"
"04.03.2019","13.980,0","14.000,0","14.040,0","13.980,0","121,36K","-0,43%"
"01.03.2019","14.040,0","13.980,0","14.040,0","13.980,0","225,66K","0,43%"
"28.02.2019","13.980,0","13.960,0","14.060,0","13.960,0","398,69K","-0,71%"
"27.02.2019","14.080,0","13.920,0","14.080,0","13.920,0","377,21K","0,28%"
"26.02.2019","14.040,0","14.020,0","14.040,0","13.960,0","570,78K","0,14%"
"25.02.2019","14.020,0","14.040,0","14.060,0","14.000,0","183,43K","0,00%"
"22.02.2019","14.020,0","14.020,0","14.080,0","13.940,0","238,68K","-0,28%"
"21.02.2019","14.060,0","14.000,0","14.060,0","13.980,0","632,31K","-0,28%"
"20.02.2019","14.100,0","14.060,0","14.140,0","14.000,0","542,93K","0,28%"
"19.02.2019","14.060,0","13.940,0","14.060,0","13.920,0","674,22K","-0,28%"
"18.02.2019","14.100,0","13.960,0","14.100,0","13.960,0","283,84K","-0,14%"
"15.02.2019","14.120,0","13.920,0","14.120,0","13.920,0","509,20K","0,86%"
"14.02.2019","14.000,0","13.960,0","14.000,0","13.900,0","498,52K","0,29%"
