"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","26.800,0","26.620,0","26.820,0","26.600,0","845,39K","0,68%"
"29.04.2019","26.620,0","26.540,0","26.640,0","26.480,0","57,34K","0,30%"
"26.04.2019","26.540,0","26.300,0","26.940,0","26.300,0","50,88K","0,00%"
"25.04.2019","26.540,0","26.400,0","26.860,0","26.400,0","162,86K","0,61%"
"24.04.2019","26.380,0","26.260,0","26.480,0","26.100,0","107,65K","1,38%"
"23.04.2019","26.020,0","26.080,0","26.120,0","25.980,0","45,40K","0,31%"
"22.04.2019","25.940,0","25.720,0","25.980,0","25.720,0","53,83K","0,86%"
"17.04.2019","25.720,0","25.880,0","26.100,0","25.720,0","40,80K","-0,16%"
"16.04.2019","25.760,0","25.860,0","25.920,0","25.740,0","78,32K","-0,39%"
"15.04.2019","25.860,0","26.000,0","26.000,0","25.840,0","99,54K","-0,54%"
"12.04.2019","26.000,0","26.120,0","26.260,0","26.000,0","35,63K","-0,38%"
"11.04.2019","26.100,0","26.160,0","26.160,0","26.020,0","53,21K","-0,23%"
"10.04.2019","26.160,0","26.220,0","26.220,0","26.120,0","49,20K","-0,23%"
"09.04.2019","26.220,0","25.980,0","26.260,0","25.980,0","93,43K","0,23%"
"08.04.2019","26.160,0","26.120,0","26.180,0","25.920,0","14,46K","-0,08%"
"05.04.2019","26.180,0","26.260,0","26.280,0","25.840,0","46,94K","0,00%"
"04.04.2019","26.180,0","26.500,0","26.680,0","26.140,0","164,51K","-1,21%"
"03.04.2019","26.500,0","25.440,0","26.500,0","25.440,0","137,19K","3,43%"
"02.04.2019","25.620,0","25.800,0","26.000,0","25.620,0","158,25K","-0,70%"
"01.04.2019","25.800,0","26.000,0","26.100,0","25.800,0","152,89K","0,08%"
"29.03.2019","25.780,0","26.600,0","26.600,0","25.680,0","156,06K","0,70%"
"28.03.2019","25.600,0","26.240,0","26.240,0","25.300,0","169,02K","-0,39%"
"27.03.2019","25.700,0","26.400,0","26.440,0","25.300,0","187,28K","-2,95%"
"26.03.2019","26.480,0","26.600,0","26.600,0","26.040,0","55,46K","-0,08%"
"22.03.2019","26.500,0","26.400,0","26.500,0","26.260,0","28,05K","0,38%"
"21.03.2019","26.400,0","26.700,0","26.740,0","26.400,0","211,82K","-1,12%"
"20.03.2019","26.700,0","26.900,0","26.900,0","26.520,0","156,88K","-0,74%"
"19.03.2019","26.900,0","26.900,0","27.100,0","26.800,0","64,18K","0,00%"
"18.03.2019","26.900,0","27.080,0","27.180,0","26.800,0","160,00K","-1,03%"
"15.03.2019","27.180,0","26.880,0","27.180,0","26.820,0","213,14K","1,42%"
"14.03.2019","26.800,0","26.220,0","26.840,0","26.220,0","134,29K","1,36%"
"13.03.2019","26.440,0","26.120,0","26.440,0","26.120,0","137,38K","1,23%"
"12.03.2019","26.120,0","26.000,0","26.280,0","25.900,0","3,91M","0,62%"
"11.03.2019","25.960,0","26.000,0","26.000,0","25.620,0","72,55K","0,39%"
"08.03.2019","25.860,0","25.820,0","25.980,0","25.600,0","100,09K","-0,54%"
"07.03.2019","26.000,0","26.540,0","26.540,0","26.000,0","86,72K","-2,03%"
"06.03.2019","26.540,0","25.920,0","26.540,0","25.860,0","180,77K","2,00%"
"05.03.2019","26.020,0","26.280,0","26.280,0","26.000,0","63,33K","-0,99%"
"04.03.2019","26.280,0","26.560,0","26.660,0","26.280,0","59,76K","-1,05%"
"01.03.2019","26.560,0","26.040,0","26.560,0","26.040,0","106,69K","1,76%"
"28.02.2019","26.100,0","26.000,0","26.360,0","26.000,0","169,85K","0,00%"
"27.02.2019","26.100,0","26.220,0","26.220,0","26.020,0","60,55K","-0,84%"
"26.02.2019","26.320,0","26.340,0","26.660,0","26.300,0","342,59K","-0,08%"
"25.02.2019","26.340,0","26.600,0","26.840,0","26.340,0","65,27K","-0,60%"
"22.02.2019","26.500,0","26.680,0","26.680,0","26.400,0","87,06K","-0,67%"
"21.02.2019","26.680,0","26.680,0","26.680,0","26.400,0","64,26K","0,00%"
"20.02.2019","26.680,0","26.780,0","26.840,0","26.680,0","110,59K","-0,22%"
"19.02.2019","26.740,0","26.740,0","26.800,0","26.540,0","77,71K","0,00%"
"18.02.2019","26.740,0","26.720,0","26.740,0","26.720,0","110,62K","0,00%"
"15.02.2019","26.740,0","26.700,0","26.740,0","26.300,0","133,60K","0,91%"
"14.02.2019","26.500,0","26.740,0","26.740,0","26.500,0","66,59K","-0,90%"
"13.02.2019","26.740,0","26.800,0","26.800,0","26.640,0","212,97K","-0,15%"
"12.02.2019","26.780,0","26.900,0","26.900,0","26.720,0","113,26K","-0,45%"
"11.02.2019","26.900,0","26.900,0","26.940,0","26.760,0","32,33K","-0,07%"
"08.02.2019","26.920,0","26.740,0","27.000,0","26.740,0","253,45K","-0,22%"
"07.02.2019","26.980,0","26.980,0","26.980,0","26.760,0","218,63K","-0,07%"
"06.02.2019","27.000,0","26.980,0","27.000,0","26.700,0","187,20K","0,00%"
"05.02.2019","27.000,0","26.520,0","27.000,0","26.520,0","265,24K","1,81%"
"04.02.2019","26.520,0","26.660,0","26.660,0","26.500,0","166,85K","0,00%"
"01.02.2019","26.520,0","26.600,0","26.680,0","26.500,0","130,94K","-0,08%"
"31.01.2019","26.540,0","26.500,0","26.700,0","26.320,0","601,14K","0,68%"
"30.01.2019","26.360,0","25.500,0","26.360,0","25.380,0","200,76K","3,45%"
"29.01.2019","25.480,0","25.400,0","25.500,0","25.280,0","193,43K","0,31%"
"28.01.2019","25.400,0","24.880,0","25.400,0","24.880,0","131,36K","2,09%"
"25.01.2019","24.880,0","24.500,0","24.900,0","24.360,0","278,69K","2,13%"
"24.01.2019","24.360,0","24.100,0","24.480,0","24.000,0","460,21K","1,08%"
"23.01.2019","24.100,0","23.820,0","24.180,0","23.820,0","126,96K","0,84%"
"22.01.2019","23.900,0","23.860,0","23.900,0","23.860,0","24,73K","0,08%"
"21.01.2019","23.880,0","23.820,0","23.880,0","23.820,0","88,97K","0,17%"
"18.01.2019","23.840,0","23.860,0","23.860,0","23.820,0","11,80K","0,76%"
"17.01.2019","23.660,0","23.620,0","23.880,0","23.620,0","111,81K","-0,59%"
"16.01.2019","23.800,0","23.840,0","23.960,0","23.800,0","135,72K","-0,08%"
"15.01.2019","23.820,0","23.600,0","23.840,0","23.580,0","502,50K","0,93%"
"14.01.2019","23.600,0","23.540,0","23.620,0","23.500,0","202,81K","0,00%"
