"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","36.000,0","36.000,0","36.220,0","35.820,0","442,84K","0,00%"
"29.04.2019","36.000,0","36.400,0","36.400,0","36.000,0","194,60K","-1,10%"
"26.04.2019","36.400,0","36.380,0","36.460,0","36.160,0","144,81K","0,00%"
"25.04.2019","36.400,0","36.300,0","36.480,0","36.300,0","274,19K","0,28%"
"24.04.2019","36.300,0","36.000,0","36.300,0","36.000,0","286,88K","0,83%"
"23.04.2019","36.000,0","35.780,0","36.300,0","35.780,0","101,07K","0,61%"
"22.04.2019","35.780,0","34.840,0","35.780,0","34.500,0","219,82K","1,30%"
"17.04.2019","35.320,0","34.600,0","35.360,0","34.600,0","72,03K","1,32%"
"16.04.2019","34.860,0","35.000,0","35.000,0","34.400,0","377,90K","-0,46%"
"15.04.2019","35.020,0","35.940,0","35.940,0","35.020,0","168,09K","-2,51%"
"12.04.2019","35.920,0","36.500,0","36.720,0","35.920,0","49,75K","-0,83%"
"11.04.2019","36.220,0","36.580,0","36.780,0","36.220,0","208,69K","-1,42%"
"10.04.2019","36.740,0","36.460,0","36.780,0","36.460,0","180,19K","0,55%"
"09.04.2019","36.540,0","36.520,0","36.600,0","36.220,0","299,02K","0,05%"
"08.04.2019","36.520,0","36.360,0","36.520,0","36.140,0","98,14K","0,88%"
"05.04.2019","36.200,0","35.940,0","36.400,0","35.940,0","340,21K","1,00%"
"04.04.2019","35.840,0","35.900,0","36.080,0","35.840,0","73,38K","0,11%"
"03.04.2019","35.800,0","36.180,0","36.260,0","35.800,0","161,17K","0,00%"
"02.04.2019","35.800,0","36.200,0","36.300,0","35.800,0","94,28K","-1,05%"
"01.04.2019","36.180,0","36.640,0","36.700,0","36.180,0","198,86K","-1,26%"
"29.03.2019","36.640,0","36.500,0","36.640,0","35.840,0","442,33K","1,78%"
"28.03.2019","36.000,0","35.560,0","36.000,0","35.020,0","222,99K","1,35%"
"27.03.2019","35.520,0","36.280,0","36.280,0","35.500,0","226,04K","-2,15%"
"26.03.2019","36.300,0","36.780,0","36.820,0","36.300,0","181,18K","-0,55%"
"22.03.2019","36.500,0","36.400,0","36.900,0","35.940,0","287,62K","-1,78%"
"21.03.2019","37.160,0","36.900,0","37.500,0","36.900,0","506,95K","0,70%"
"20.03.2019","36.900,0","36.600,0","36.900,0","36.300,0","501,67K","0,54%"
"19.03.2019","36.700,0","36.760,0","36.900,0","36.540,0","586,15K","-0,16%"
"18.03.2019","36.760,0","36.660,0","36.940,0","36.560,0","591,10K","0,71%"
"15.03.2019","36.500,0","35.960,0","36.520,0","35.960,0","1,61M","1,67%"
"14.03.2019","35.900,0","35.480,0","35.900,0","35.480,0","549,70K","1,41%"
"13.03.2019","35.400,0","35.100,0","35.460,0","35.000,0","1,10M","1,14%"
"12.03.2019","35.000,0","35.300,0","35.300,0","34.840,0","134,92K","0,46%"
"11.03.2019","34.840,0","34.720,0","34.980,0","34.480,0","403,97K","1,28%"
"08.03.2019","34.400,0","34.560,0","34.580,0","34.180,0","222,84K","-1,43%"
"07.03.2019","34.900,0","34.960,0","34.980,0","34.580,0","134,77K","-0,46%"
"06.03.2019","35.060,0","34.820,0","35.300,0","34.800,0","427,48K","1,10%"
"05.03.2019","34.680,0","34.900,0","34.900,0","34.580,0","68,16K","-0,40%"
"04.03.2019","34.820,0","34.940,0","34.940,0","34.740,0","37,31K","-0,34%"
"01.03.2019","34.940,0","34.800,0","35.400,0","34.780,0","127,05K","-0,17%"
"28.02.2019","35.000,0","34.980,0","35.400,0","34.900,0","435,24K","-0,23%"
"27.02.2019","35.080,0","35.860,0","35.880,0","34.960,0","459,54K","-2,01%"
"26.02.2019","35.800,0","35.880,0","35.980,0","35.780,0","204,86K","-0,22%"
"25.02.2019","35.880,0","35.500,0","35.880,0","35.500,0","292,66K","1,64%"
"22.02.2019","35.300,0","34.820,0","35.640,0","34.820,0","251,06K","1,73%"
"21.02.2019","34.700,0","34.580,0","34.700,0","34.320,0","199,91K","0,58%"
"20.02.2019","34.500,0","34.980,0","35.100,0","34.500,0","391,13K","-1,37%"
"19.02.2019","34.980,0","34.860,0","34.980,0","34.520,0","233,66K","0,00%"
"18.02.2019","34.980,0","35.000,0","35.000,0","34.860,0","97,97K","-0,06%"
"15.02.2019","35.000,0","34.900,0","35.080,0","34.680,0","316,12K","0,29%"
"14.02.2019","34.900,0","34.980,0","35.000,0","34.700,0","120,28K","-0,23%"
"13.02.2019","34.980,0","35.300,0","35.560,0","34.900,0","253,40K","-0,68%"
"12.02.2019","35.220,0","34.900,0","35.360,0","34.900,0","192,42K","1,21%"
"11.02.2019","34.800,0","34.860,0","34.960,0","34.600,0","106,62K","-0,17%"
"08.02.2019","34.860,0","35.120,0","35.240,0","34.800,0","117,95K","-1,02%"
"07.02.2019","35.220,0","35.960,0","35.960,0","35.220,0","201,69K","-2,17%"
"06.02.2019","36.000,0","36.000,0","36.300,0","35.620,0","277,61K","0,00%"
"05.02.2019","36.000,0","35.820,0","36.000,0","35.620,0","296,30K","1,35%"
"04.02.2019","35.520,0","34.800,0","35.520,0","34.800,0","367,50K","2,60%"
"01.02.2019","34.620,0","34.500,0","34.660,0","34.480,0","140,65K","0,41%"
"31.01.2019","34.480,0","34.540,0","34.680,0","34.400,0","1,38M","1,06%"
"30.01.2019","34.120,0","34.500,0","34.800,0","34.120,0","352,22K","-1,10%"
"29.01.2019","34.500,0","34.300,0","34.500,0","34.220,0","206,86K","0,58%"
"28.01.2019","34.300,0","34.000,0","34.300,0","33.760,0","503,99K","1,18%"
"25.01.2019","33.900,0","33.640,0","33.960,0","33.620,0","465,05K","1,25%"
"24.01.2019","33.480,0","33.400,0","33.700,0","33.300,0","376,06K","0,24%"
"23.01.2019","33.400,0","32.700,0","33.460,0","32.700,0","290,58K","1,64%"
"22.01.2019","32.860,0","32.740,0","32.860,0","32.620,0","409,43K","0,37%"
"21.01.2019","32.740,0","32.620,0","32.760,0","32.620,0","131,64K","0,49%"
"18.01.2019","32.580,0","32.620,0","32.760,0","32.560,0","323,85K","-0,31%"
"17.01.2019","32.680,0","32.680,0","32.700,0","32.660,0","178,66K","0,00%"
"16.01.2019","32.680,0","32.500,0","32.760,0","32.500,0","408,59K","0,55%"
"15.01.2019","32.500,0","32.700,0","32.700,0","32.320,0","243,24K","-0,61%"
"14.01.2019","32.700,0","32.280,0","32.700,0","32.200,0","2,17M","1,30%"
"11.01.2019","32.280,0","32.260,0","32.280,0","32.140,0","645,78K","0,06%"
"10.01.2019","32.260,0","32.300,0","32.300,0","32.180,0","538,05K","-0,06%"
"09.01.2019","32.280,0","32.600,0","32.600,0","32.240,0","675,84K","-0,06%"
