"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.04.2019","34.860,0","34.500,0","34.900,0","34.500,0","96,92K","-0,11%"
"29.04.2019","34.900,0","34.960,0","35.040,0","34.240,0","69,41K","-0,23%"
"26.04.2019","34.980,0","34.760,0","34.980,0","34.400,0","27,96K","0,63%"
"25.04.2019","34.760,0","34.860,0","34.860,0","34.560,0","113,11K","0,70%"
"24.04.2019","34.520,0","34.500,0","34.780,0","34.200,0","118,83K","0,47%"
"23.04.2019","34.360,0","34.880,0","34.880,0","34.220,0","13,77K","0,76%"
"22.04.2019","34.100,0","34.100,0","34.100,0","32.840,0","74,77K","0,00%"
"17.04.2019","34.100,0","33.400,0","34.220,0","33.400,0","22,29K","2,22%"
"16.04.2019","33.360,0","33.500,0","33.500,0","32.560,0","30,28K","-0,48%"
"15.04.2019","33.520,0","34.120,0","34.140,0","33.520,0","63,56K","-4,01%"
"12.04.2019","34.920,0","33.700,0","34.920,0","33.700,0","4,00K","1,51%"
"11.04.2019","34.400,0","34.740,0","34.740,0","34.400,0","10,48K","-1,38%"
"10.04.2019","34.880,0","33.660,0","34.880,0","33.640,0","34,54K","1,40%"
"09.04.2019","34.400,0","34.320,0","34.800,0","34.300,0","106,45K","-1,09%"
"08.04.2019","34.780,0","34.360,0","34.780,0","34.300,0","23,52K","1,22%"
"05.04.2019","34.360,0","34.120,0","34.900,0","34.120,0","16,69K","0,88%"
"04.04.2019","34.060,0","33.500,0","34.060,0","33.500,0","23,30K","0,83%"
"03.04.2019","33.780,0","33.980,0","33.980,0","33.520,0","6,06K","0,48%"
"02.04.2019","33.620,0","33.740,0","34.000,0","33.620,0","12,39K","-0,36%"
"01.04.2019","33.740,0","33.980,0","34.980,0","33.740,0","23,78K","-1,92%"
"29.03.2019","34.400,0","33.720,0","34.780,0","33.720,0","112,94K","2,44%"
"28.03.2019","33.580,0","34.100,0","34.600,0","33.120,0","31,06K","-1,00%"
"27.03.2019","33.920,0","34.660,0","34.920,0","33.920,0","62,42K","-2,86%"
"26.03.2019","34.920,0","35.000,0","35.500,0","34.920,0","40,65K","-0,23%"
"22.03.2019","35.000,0","35.000,0","35.200,0","34.460,0","55,12K","-1,69%"
"21.03.2019","35.600,0","35.000,0","35.600,0","35.000,0","58,01K","1,71%"
"20.03.2019","35.000,0","34.200,0","35.000,0","34.200,0","164,47K","0,52%"
"19.03.2019","34.820,0","34.880,0","34.900,0","34.520,0","100,86K","-0,17%"
"18.03.2019","34.880,0","34.980,0","34.980,0","34.340,0","61,93K","1,10%"
"15.03.2019","34.500,0","33.900,0","34.500,0","33.900,0","348,43K","1,47%"
"14.03.2019","34.000,0","32.700,0","34.000,0","32.700,0","57,41K","1,86%"
"13.03.2019","33.380,0","33.020,0","33.460,0","33.020,0","101,71K","2,08%"
"12.03.2019","32.700,0","33.000,0","33.020,0","32.700,0","53,89K","0,86%"
